"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"Cijk_Alik_Bljk_HSS_BH_MT256x256x32_MI32x32x8x1_SN_1LDSB1_APM1_ABV0_ACED0_AF0EM1_AF1EM1_AMAS3_ASE_ASGT_ASLT_ASM_ASAE01_ASCE01_ASEM1_AAC0_BL1_BS1_CLR0_DTLA0_DTLB0_DTVA0_DTVB0_DVO0_ETSP_EPS1_ELFLR0_EMLL0_FSSC10_FL0_GLVWA8_GLVWB8_GRCGA1_GRCGB1_GRPM1_GRVW8_GSU1_GSUASB_GLS0_ISA942_IU1_K1_KLA_LBSPPA128_LBSPPB128_LPA8_LPB8_LDL1_LRVW8_LWPMn1_LDW0_FMA_MIAV0_MDA2_MO40_MMFSC_MKFGSU256_NTA0_NTB0_NTC0_NTD0_NEPBS8_NLCA1_NLCB1_ONLL1_OPLV0_PK0_PAP0_PGR2_PLR5_PKA0_SIA3_SLW1_SS1_SU32_SUM0_SUS64_SCIUI1_SPO0_SRVW0_SSO6_SVW2_SNLL0_TSGRA0_TSGRB0_TT4_128_TLDS1_UMLDSA1_UMLDSB1_U64SL1_USFGROn1_VAW1_VSn1_VW2_VWB1_VFLRP0_WSGRA0_WSGRB0_WS64_WG64_4_1_WGM18",96,17281147,180011.947917,1.35,177886,188149,2011.464674
"argmax_f32_batched",36,14084982,391249.500000,1.10,297920,514494,62972.045562
"attention_q8_0_kv_batched",208,13795593,66324.966346,1.08,39490,123282,18330.824802
"conv1d_silu_split_f32",1200,10507473,8756.227500,0.8231,4570,56048,9496.563751
"attention_dflash_f32",60,9069050,151150.833333,0.7104,120274,177725,17969.197498
"gemv_hfq4g256_wide",205,8963976,43726.712195,0.7022,5011,426613,82891.918978
"mq_rotate_x",1625,7953220,4894.289231,0.6230,2406,18522,712.793403
"rmsnorm_f32",909,7393368,8133.518152,0.5791,3929,37927,5118.586418
"fused_qk_l2_norm_scale_f32",1200,6949901,5791.584167,0.5444,4570,36122,1654.901406
"repeat_interleave_qk_f32_batched",1200,6035664,5029.720000,0.4728,1764,6455,460.727930
"fused_silu_mul_mq_rotate",832,5044487,6063.085337,0.3951,3969,18522,3285.022154
"gated_norm_f32",624,3417667,5477.030449,0.2677,3889,10303,1283.672872
"fused_sigmoid_alpha_gate_f32",624,3358230,5381.778846,0.2631,3929,6174,382.652233
"rope_partial_halfsplit_batched_f32",208,2622466,12608.009615,0.2054,9742,13871,770.526609
"kv_cache_write_q8_0_batched",416,2105842,5062.120192,0.1650,3809,5894,330.740637
"attention_q8_0_kv",24,1613684,67236.833333,0.1264,40252,86317,12591.659833
"sigmoid_mul_f32",232,1280637,5519.987069,0.1003,4009,9421,1036.633372
"deinterleave_f32_batched",208,1100987,5293.206731,0.0862,3809,8179,782.877425
"embedding_q8",204,1097948,5382.098039,0.0860,2766,14072,2597.611262
"rope_batched_f32",120,974538,8121.150000,0.0763,4450,12108,2958.507279
"__amd_rocclr_fillBufferAligned",418,846774,2025.775120,0.0663,641,36924,1980.002256
"add_f32",120,540985,4508.208333,0.0424,3849,8419,437.170042
"silu_mul_f32",84,412299,4908.321429,0.0323,3929,7056,669.012366
"rope_partial_halfsplit_f32",24,316721,13196.708333,0.0248,11426,14874,898.111423
"kv_cache_write_q8_0",48,255502,5322.958333,0.0200,4250,6054,458.687812
"add_inplace_f32",48,255422,5321.291667,0.0200,2405,6655,713.265101
"embedding_q8_batched",13,148097,11392.076923,0.0116,10464,14032,958.327663
"deinterleave_f32",24,126129,5255.375000,9.880e-03,2887,10945,1804.270750
