"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"gemm_gate_up_hfq4g256_fp16_wave64",704,212084917,301256.984375,16.54,284608,396222,14890.939686
"gemm_hfq4g256_residual_fp16_wave64",1408,170340321,120980.341619,13.28,61741,221905,54920.526993
"Cijk_Alik_Bljk_HSS_BH_MT256x256x32_MI32x32x8x1_SN_1LDSB1_APM1_ABV0_ACED0_AF0EM1_AF1EM1_AMAS3_ASE_ASGT_ASLT_ASM_ASAE01_ASCE01_ASEM1_AAC0_BL1_BS1_CLR0_DTLA0_DTLB0_DTVA0_DTVB0_DVO0_ETSP_EPS1_ELFLR0_EMLL0_FSSC10_FL0_GLVWA8_GLVWB8_GRCGA1_GRCGB1_GRPM1_GRVW8_GSU1_GSUASB_GLS0_ISA942_IU1_K1_KLA_LBSPPA128_LBSPPB128_LPA8_LPB8_LDL1_LRVW8_LWPMn1_LDW0_FMA_MIAV0_MDA2_MO40_MMFSC_MKFGSU256_NTA0_NTB0_NTC2_NTD3_NEPBS0_NLCA1_NLCB1_ONLL0_OPLV0_PK0_PAP0_PGR2_PLR5_PKA0_SIA3_SLW1_SS1_SU32_SUM0_SUS128_SCIUI1_SPO1_SRVW0_SSO8_SVW2_SNLL0_TSGRA0_TSGRB0_TT2_256_TLDS1_UMLDSA1_UMLDSB1_U64SL1_USFGROn1_VAW1_VSn1_VW2_VWB2_VFLRP0_WSGRA0_WSGRB0_WS64_WG128_2_1_WGM4",191,142134619,744160.308901,11.08,671049,1244395,51466.645368
"Cijk_Alik_Bljk_HSS_BH_MT256x256x32_MI32x32x8x1_SN_1LDSB1_APM1_ABV0_ACED0_AF0EM1_AF1EM1_AMAS3_ASE_ASGT_ASLT_ASM_ASAE01_ASCE01_ASEM1_AAC0_BL1_BS1_CLR0_DTLA0_DTLB0_DTVA0_DTVB0_DVO0_ETSP_EPS1_ELFLR0_EMLL0_FSSC10_FL0_GLVWA8_GLVWB8_GRCGA1_GRCGB1_GRPM1_GRVW8_GSU1_GSUASB_GLS0_ISA942_IU1_K1_KLA_LBSPPA128_LBSPPB128_LPA8_LPB8_LDL1_LRVW8_LWPMn1_LDW0_FMA_MIAV0_MDA2_MO40_MMFSC_MKFGSU256_NTA0_NTB0_NTC3_NTD2_NEPBS0_NLCA1_NLCB1_ONLL1_OPLV0_PK0_PAP0_PGR2_PLR5_PKA0_SIA3_SLW1_SS1_SU32_SUM0_SUS128_SCIUI1_SPO1_SRVW0_SSO8_SVW2_SNLL0_TSGRA0_TSGRB0_TT2_256_TLDS1_UMLDSA1_UMLDSB1_U64SL1_USFGROn1_VAW1_VSn1_VW2_VWB2_VFLRP0_WSGRA0_WSGRB0_WS64_WG128_2_1_WGM18",516,139419276,270192.395349,10.87,210800,1475922,164724.658943
"Cijk_Alik_Bljk_HSS_BH_MT256x256x32_MI32x32x8x1_SN_1LDSB1_APM1_ABV0_ACED0_AF0EM1_AF1EM1_AMAS3_ASE_ASGT_ASLT_ASM_ASAE01_ASCE01_ASEM1_AAC0_BL1_BS1_CLR0_DTLA0_DTLB0_DTVA0_DTVB0_DVO0_ETSP_EPS1_ELFLR0_EMLL0_FSSC10_FL0_GLVWA8_GLVWB8_GRCGA1_GRCGB1_GRPM1_GRVW8_GSU1_GSUASB_GLS0_ISA942_IU1_K1_KLA_LBSPPA128_LBSPPB128_LPA8_LPB8_LDL1_LRVW8_LWPMn1_LDW0_FMA_MIAV0_MDA2_MO40_MMFSC_MKFGSU256_NTA0_NTB0_NTC0_NTD0_NEPBS8_NLCA1_NLCB1_ONLL1_OPLV0_PK0_PAP0_PGR2_PLR5_PKA0_SIA3_SLW1_SS1_SU32_SUM0_SUS64_SCIUI1_SPO0_SRVW0_SSO8_SVW2_SNLL0_TSGRA0_TSGRB0_TT4_128_TLDS1_UMLDSA1_UMLDSB1_U64SL1_USFGROn1_VAW1_VSn1_VW2_VWB1_VFLRP0_WSGRA0_WSGRB0_WS64_WG64_4_1_WGM6",526,109944282,209019.547529,8.57,157519,230045,20506.155835
"gemm_qkvza_hfq4g256_fp16_wave64",528,76093458,144116.397727,5.93,136632,179449,6931.568838
"gated_delta_net_q8",1200,68220343,56850.285833,5.32,12268,489876,87478.479070
"gemm_hfq4g256_wave64",123,56595584,460126.699187,4.41,25739,3536377,1022054.085253
"hfq4g256_dequantize_to_f16",533,54009643,101331.412758,4.21,4049,2416706,121634.248000
"fused_rmsnorm_mq_rotate",1664,31558156,18965.237981,2.46,15275,53081,1597.056827
"__amd_rocclr_copyBuffer",7877,30918517,3925.164022,2.41,641,37766,1803.819614
"gemm_qkv_hfq4g256_fp16_wave64",176,21971062,124835.579545,1.71,119352,168063,4696.723880
"Cijk_Alik_Bljk_HSS_BH_MT256x128x64_MI16x16x16x1_SN_1LDSB1_APM1_ABV0_ACED0_AF0EM1_AF1EM1_AMAS3_ASE_ASGT_ASLT_ASM_ASAE01_ASCE01_ASEM1_AAC0_BL1_BS1_CLR0_DTLA0_DTLB0_DTVA0_DTVB0_DVO0_ETSP_EPS1_ELFLR0_EMLL0_FSSC10_FL0_GLVWA8_GLVWB8_GRCGA1_GRCGB1_GRPM1_GRVW8_GSU1_GSUASB_GLS0_ISA942_IU1_K1_KLA_LBSPPA256_LBSPPB128_LPA16_LPB16_LDL1_LRVW8_LWPMn1_LDW0_FMA_MIAV0_MDA2_MO40_MMFSC_MKFGSU256_NTA0_NTB0_NTC0_NTD0_NEPBS0_NLCA1_NLCB1_ONLL1_OPLV0_PK0_PAP0_PGR2_PLR5_PKA0_SIA3_SLW1_SS1_SU32_SUM0_SUS128_SCIUI1_SPO0_SRVW0_SSO8_SVW2_SNLL0_TSGRA0_TSGRB0_TT8_64_TLDS1_UMLDSA1_UMLDSB1_U64SL1_USFGROn1_VAW1_VSn1_VW2_VWB1_VFLRP0_WSGRA0_WSGRB0_WS64_WG32_8_1_WGM18",128,21549338,168354.203125,1.68,148257,185503,13998.389282
"convert_f32_to_f16",3793,20067432,5290.649090,1.56,1924,14393,868.004983
"Cijk_Alik_Bljk_HSS_BH_MT256x256x32_MI32x32x8x1_SN_1LDSB1_APM1_ABV0_ACED0_AF0EM1_AF1EM1_AMAS3_ASE_ASGT_ASLT_ASM_ASAE01_ASCE01_ASEM1_AAC0_BL1_BS1_CLR0_DTLA0_DTLB0_DTVA0_DTVB0_DVO0_ETSP_EPS1_ELFLR0_EMLL0_FSSC10_FL0_GLVWA8_GLVWB8_GRCGA1_GRCGB1_GRPM1_GRVW8_GSU1_GSUASB_GLS0_ISA942_IU1_K1_KLA_LBSPPA128_LBSPPB128_LPA8_LPB8_LDL1_LRVW8_LWPMn1_LDW0_FMA_MIAV0_MDA2_MO40_MMFSC_MKFGSU256_NTA0_NTB0_NTC0_NTD0_NEPBS8_NLCA1_NLCB1_ONLL1_OPLV0_PK0_PAP0_PGR2_PLR5_PKA0_SIA3_SLW1_SS1_SU32_SUM0_SUS64_SCIUI1_SPO0_SRVW0_SSO6_SVW2_SNLL0_TSGRA0_TSGRB0_TT4_128_TLDS1_UMLDSA1_UMLDSB1_U64SL1_USFGROn1_VAW1_VSn1_VW2_VWB1_VFLRP0_WSGRA0_WSGRB0_WS64_WG64_4_1_WGM18",96,17264048,179833.833333,1.35,177886,185783,1829.455649
"argmax_f32_batched",36,14144184,392894.000000,1.10,295874,512247,66734.413121
"attention_q8_0_kv_batched",208,13927903,66961.072115,1.09,39009,123682,18381.949320
"conv1d_silu_split_f32",1200,10423068,8685.890000,0.8127,4530,55125,9506.411886
"attention_dflash_f32",60,9054751,150912.516667,0.7060,121116,177605,18326.709807
"gemv_hfq4g256_wide",205,8905728,43442.575610,0.6944,4811,428296,82556.064448
"mq_rotate_x",1625,8002792,4924.795077,0.6240,2566,39008,1121.657697
"rmsnorm_f32",909,7409920,8151.727173,0.5778,3889,22972,5105.467703
"fused_qk_l2_norm_scale_f32",1200,6684782,5570.651667,0.5212,4610,10785,952.780031
"repeat_interleave_qk_f32_batched",1200,6092248,5076.873333,0.4750,2084,34439,1496.741346
"fused_silu_mul_mq_rotate",832,5221772,6276.168269,0.4072,4009,40813,3509.825193
"gated_norm_f32",624,3463126,5549.881410,0.2700,3889,9982,1251.590831
"fused_sigmoid_alpha_gate_f32",624,3265436,5233.070513,0.2546,3809,10785,433.391024
"rope_partial_halfsplit_batched_f32",208,2571384,12362.423077,0.2005,9902,13792,755.429068
"kv_cache_write_q8_0_batched",416,2079883,4999.718750,0.1622,3809,5813,323.845769
"attention_q8_0_kv",24,1629594,67899.750000,0.1271,37766,86798,12902.687436
"sigmoid_mul_f32",232,1288083,5552.081897,0.1004,3889,9301,984.649962
"deinterleave_f32_batched",208,1122518,5396.721154,0.0875,3849,9542,910.217078
"embedding_q8",204,1074650,5267.892157,0.0838,3848,14192,2474.320881
"rope_batched_f32",120,999157,8326.308333,0.0779,4891,11947,2934.398843
"__amd_rocclr_fillBufferAligned",418,885583,2118.619617,0.0691,641,7738,1231.730644
"add_f32",120,539591,4496.591667,0.0421,3808,4811,212.558109
"silu_mul_f32",84,415269,4943.678571,0.0324,3889,6975,773.121231
"rope_partial_halfsplit_f32",24,312710,13029.583333,0.0244,11066,14794,1170.899502
"add_inplace_f32",48,264278,5505.791667,0.0206,2566,7136,861.171097
"kv_cache_write_q8_0",48,250292,5214.416667,0.0195,4370,6174,433.279618
"embedding_q8_batched",13,148580,11429.230769,0.0116,10584,13631,924.791882
"deinterleave_f32",24,114819,4784.125000,8.953e-03,3127,5252,462.066089
